p_id,name,price,colour,brand,ratingCount,avg_rating
10513948,Anubhutee Women Mustard Yellow & Brown Screen Printed Straight Kurta,1999,Mustard,Anubhutee,5772,4.181219681
15090310,FASHION DEPTH Women Green & Yellow Floral Yoke Design Thread Work Straight Kurta,1999,Green,FASHION DEPTH,604,4.562913907
9252969,anayna Women Pink Printed Straight Kurta,1599,Pink,anayna,1263,4.517022961
14346054,Nayo Women Navy Blue Ethnic Motifs Printed Indigo Kurta,1299,Navy Blue,Nayo,325,4.326153846
10317841,Jaipur Kurti Women Mustard Yellow & Grey Yoke Design Kurta with Palazzos & Dupatta,4449,Mustard,Jaipur Kurti,1970,4.167005076
18929148,Vishudh Women Turquoise Blue Pleated Kurti with Trouser & With Dupatta,2349,Turquoise Blue,Vishudh,,
14848486,Biba Women Yellow Printed Regular Kurta with Palazzos & With Dupatta,4995,Yellow,Biba,45,4.222222222
19324666,FASHOR Women Red Ethnic Motifs Thread Work Kurta,2899,Red,FASHOR,,
15177320,Ode by House of Pataudi Women Pink Cotton Floral Printed Rozana Fit & flare Kurta,1499,Pink,Ode by House of Pataudi,131,4.221374046
13415752,AHIKA Women Red Solid Mandarin Collar Kurta,1737,Red,AHIKA,220,4.368181818
11113624,Popnetic Women Beige & Green Printed Kurta with Palazzos,2499,Beige,Popnetic,2141,3.946286782
19240202,Charu Women Maroon Embroidered Viscose Rayon Straight Kurta,3199,Maroon,Charu,,
18198284,Biba Women Navy Blue & White Ethnic Motifs Printed Indigo Kurta with Dupatta,1799,Navy Blue,Biba,,
18704432,Soch Women Rust Geometric Printed Gotta Patti Kurta,1998,Rust,Soch,,
19066150,Sangria Women White & Blue Ethnic Motifs Embroidered Thread Work Kurta,2299,White,Sangria,,
18130248,Ojjasvi Women White Geometric Lace Kurta,1499,White,Ojjasvi,28,4.5
13932856,anayna Women White & Pink Printed Kurta with Palazzos,2999,White,anayna,146,4.410958904
14531374,Varanga Women Teal Panelled Kurta with Trousers & With Dupatta,4999,Teal,Varanga,316,4.126582278
16362840,House of Pataudi Women Off White Pure Cotton Kurta with Trousers & With Dupatta,3499,Off White,House of Pataudi,,
10935118,ANAISA Criss-Cross Screen Print Gotta Kurta Set,2219,White,ANAISA,6076,3.977123107
16907804,Libas Women Blue Paisley Yoke Design Gotta Patti Pastels Kurta,1899,Blue,Libas,23,4.52173913
13895534,Inddus Women Purple Solid Kurta with Trousers & Dupatta,5999,Purple,Inddus,483,4.233954451
13596472,AHIKA Women Off-White & Green Printed Kurta with Palazzos,2398,Off White,AHIKA,1401,4.264810849
12135222,Anouk Women Rust Orange & Beige Printed Straight Kurta,1299,Rust,Anouk,965,4.102590674
14482494,Vishudh Women Brown Ethnic Motifs Kurta,1199,Brown,Vishudh,464,3.99137931
18874642,KALINI Women White Ethnic Motifs Thread Work Floral Anarkali Kurta,3599,White,KALINI,6,4.166666667
17445574,Vishudh Women Blue Floral Embroidered Thread Work Cotton Kurta,1149,Blue,Vishudh,93,4.107526882
17455814,Anouk Women Mustard Yellow Ethnic Motifs Printed Pure Cotton Kurta with Trousers,1699,Mustard,Anouk,38,3.552631579
17263086,KALINI Women White & Green Floral Printed Pure Cotton Kurta With Patiala & Dupatta,3499,White,KALINI,117,4.196581197
18686204,KARAJ JAIPUR Women Blue Embroidered Chanderi Cotton Kurta with Churidar & With Dupatta,4495,Blue,KARAJ JAIPUR,,
